wallet_id,score,total_usd,num_assets,portfolio_concentration,largest_holding_usd
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,350,44792.077926641374,23,0.5119860712324754,22932.92
0x06b51c6882b27cb05e712185531c1f74996dd988,1000,3.5454195,1,1.0,3.5454195
0x0795732aacc448030ef374374eaae57d2965c16c,900,29.9468697,2,0.8820705891674547,26.415253
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,400,34651.66292731531,11,0.884796844073867,30659.682
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,1000,3.544535,1,1.0,3.544535
0x104ae61d8d487ad689969a17807ddc338b445416,900,3.66812975,2,0.9608538520209107,3.5245366
0x111c7208a7e2af345d36b6d4aace8740d61a3078,800,0.0,0,0.0,0.0
0x124853fecb522c57d9bd5c21231058696ca6d596,850,9.4105842,2,0.6239272159107826,5.8715196
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,900,36.6391438,2,0.9037891327580642,33.11406
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,800,0.0,0,0.0,0.0
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,850,26.463803000000002,2,0.7013159824383517,18.559488
0x19df3e87f73c4aaf4809295561465b993e102668,600,9153.53767265,5,0.4597195259897525,4208.06
0x1ab2ccad4fc97c9968ea87d4435326715be32872,1000,3.5371535,1,1.0,3.5371535
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,900,0.9209074506,3,0.9965347759995634,0.9177163
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,900,54.7816569,3,0.9077323106669305,49.72708
0x22d7510588d90ed5a87e0f838391aaafa707c34b,500,124.02710277602002,19,0.3908217713311925,48.472492
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,900,21.694921700000002,2,0.8369201904056652,18.156918
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,850,22.1973182,3,0.7878049880818485,17.487158
0x27f72a000d8e9f324583f3a3491ea66998275b28,1000,3.5396826,1,1.0,3.5396826
0x2844658bf341db96aa247259824f42025e3bcec2,900,22.9252073,2,0.84625612087704,19.400597
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,1000,3.541532,1,1.0,3.541532
0x330513970efd9e8dd606275fb4c50378989b3204,750,19.103610200000002,4,0.537205789510927,10.26257
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,1000,7.6060977,1,1.0,7.6060977
0x3867d222ba91236ad4d12c31056626f9e798629c,900,49.4179104,2,0.9286631633862042,45.892593
0x3a44be4581137019f83021eeee72b7dc57756069,900,39.8595732,2,0.9110897103133055,36.315647
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,900,56.934392,2,0.8757362333824518,49.85951
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,800,2.4706508830000002,4,0.8562944342144838,2.1156046
0x4814be124d7fe3b240eb46061f7ddfab468fe122,900,7.94800627,2,0.9863707241388475,7.8396807
0x4839e666e2baf12a51bf004392b35972eeddeabf,800,0.0,0,0.0,0.0
0x4c4d05fe859279c91b074429b5fc451182cec745,850,21.176598000000002,3,0.7490208295024535,15.861713
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,750,5.0331218372,4,0.674741265927565,3.396055
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,1000,3.5330005,1,1.0,3.5330005
0x4e61251336c32e4fe6bfd5fab014846599321389,1000,3.5249555,1,1.0,3.5249555
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,900,48.440189000000004,2,0.9268687411603617,44.897697
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,1000,0.07865008,1,1.0,0.07865008
0x54e19653be9d4143b08994906be0e27555e8834d,1000,7.142784e-08,1,1.0,7.142784e-08
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,850,6.4145704,2,0.551400542739386,3.5369976
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,900,4.391710939999999,2,0.8065785176653726,3.5422597
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,850,7.8736075,2,0.55095888384073,4.338034
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,850,7.0690746,2,0.5010679332765847,3.5420866
0x58d68d4bcf9725e40353379cec92b90332561683,850,11.1275754,2,0.6953624057222744,7.7376976
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,900,52.801898,2,0.9330199456087734,49.265224
0x612a3500559be7be7703de6dc397afb541a16f7f,750,1.5677568349292292,5,0.7524871036861109,1.1797168
0x623af911f493747c216ad389c7805a37019c662d,400,117266.6220294,4,0.9741718318735176,114237.84
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,850,9.0445814,2,0.5811133061392979,5.2559266
0x6d69ca3711e504658977367e13c300ab198379f1,1000,3.5423367,1,1.0,3.5423367
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,800,0.0,0,0.0,0.0
0x70c1864282599a762c674dd9d567b37e13bce755,1000,3.5402215,1,1.0,3.5402215
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,800,0.268662800024,4,0.9011668157198242,0.24211
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,900,42.8421263,2,0.9174774082116461,39.306683
0x767055590c73b7d2aaa6219da13807c493f91a20,900,57.3471506,2,0.9382570090587901,53.806366
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,1000,1.4573672,1,1.0,1.4573672
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,1000,3.5396304,1,1.0,3.5396304
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,800,0.0,0,0.0,0.0
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,900,52.9797946,3,0.8805720624669995,46.652527
0x7de76a449cf60ea3e111ff18b28e516d89532152,900,55.037013200000004,2,0.9356454321543742,51.49513
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,900,115.166345282576,2,0.9999999193985363,115.166336
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,900,49.9522506,2,0.9293879943819788,46.425022
0x83ea74c67d393c6894c34c464657bda2183a2f1a,900,4.19431325,2,0.8444125864943444,3.5417309
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,800,20.399755490000004,4,0.8303941686116748,16.939838
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,900,44.5607018,2,0.9206245041679304,41.023674
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,1000,3.538755,1,1.0,3.538755
0x880a0af12da55df1197f41697c1a1b61670ed410,800,0.0,0,0.0,0.0
0x8aaece100580b749a20f8ce30338c4e0770b65ed,900,3.66373787,2,0.9681870335335973,3.5471835
0x8be38ea2b22b706aef313c2de81f7d179024dd30,900,0.63820593,2,0.8800336593550612,0.5616427
